,GEOID,0
0,17031839100,44804
1,17031320100,41613
2,17031980000,39992
3,17031081800,32971
4,17031081700,32456
5,17031833000,31481
6,17031330100,29777
7,17031081403,26511
8,17031081500,25771
9,17031280100,21498
10,17031281900,17721
11,17031081201,16771
12,17031081401,16203
13,17031080300,16179
14,17031081402,15322
15,17031839000,15236
16,17031081600,14714
17,17031081000,14595
18,17031980100,14420
19,17031071500,14410
20,17031833100,14377
21,17031320600,14010
22,17031842200,12923
23,17031081300,12438
24,17031842300,12128
25,17031243500,12002
26,17031841900,11116
27,17031241400,10540
28,17031832600,9969
29,17031320400,9756
30,17031081100,9086
31,17031241500,8794
32,17031060900,8538
33,17031063200,8128
34,17031070200,7652
35,17031080100,7523
36,17031080202,7518
37,17031032100,7438
38,17031031400,7422
39,17031063000,7307
40,17031071400,7184
41,17031062100,7091
42,17031070300,6872
43,17031838200,6842
44,17031070101,6587
45,17031071100,6118
46,17031832000,5848
47,17031242100,5788
48,17031063302,5734
49,17031081202,5613
50,17031071200,5485
51,17031242000,5461
52,17031241600,5213
53,17031080400,5123
54,17031062000,5016
55,17031830700,4846
56,17031062900,4726
57,17031060800,4655
58,17031242200,4643
59,17031830900,4616
60,17031061902,4515
61,17031832500,4458
62,17031838300,3947
63,17031031700,3863
64,17031063400,3856
65,17031070102,3668
66,17031070700,3559
67,17031071300,3558
68,17031831100,3499
69,17031838100,3485
70,17031221400,3478
71,17031062200,3457
72,17031061901,3358
73,17031243400,3335
74,17031031100,3324
75,17031061000,3258
76,17031220602,3245
77,17031842900,3227
78,17031310600,3203
79,17031031300,3132
80,17031410800,3130
81,17031080201,3076
82,17031832100,3060
83,17031062800,3059
84,17031063100,3041
85,17031242600,2982
86,17031070400,2969
87,17031842400,2949
88,17031832300,2922
89,17031836200,2918
90,17031351000,2839
91,17031240500,2819
92,17031841100,2688
93,17031071000,2667
94,17031031200,2624
95,17031031502,2622
96,17031070600,2551
97,17031243300,2529
98,17031242300,2526
99,17031070500,2456
100,17031030500,2342
101,17031060400,2341
102,17031221300,2300
103,17031831900,2266
104,17031252102,2212
105,17031841000,2148
106,17031061100,2060
107,17031062700,2046
108,17031231500,2037
109,17031240300,2026
110,17031210100,2014
111,17031251800,1991
112,17031251900,1984
113,17031241100,1969
114,17031831000,1969
115,17031832200,1965
116,17031837800,1956
117,17031430101,1952
118,17031010600,1943
119,17031440101,1928
120,17031063301,1911
121,17031040201,1906
122,17031030800,1881
123,17031838700,1875
124,17031070103,1865
125,17031252000,1845
126,17031843700,1843
127,17031242400,1843
128,17031390700,1837
129,17031010201,1837
130,17031834200,1808
131,17031243200,1804
132,17031431400,1758
133,17031040402,1755
134,17031440201,1718
135,17031050200,1706
136,17031831400,1680
137,17031242500,1667
138,17031430200,1659
139,17031010300,1627
140,17031843900,1619
141,17031221100,1616
142,17031843200,1608
143,17031252202,1578
144,17031835900,1571
145,17031830600,1533
146,17031431302,1531
147,17031230600,1520
148,17031230900,1509
149,17031510300,1502
150,17031832400,1466
151,17031030706,1465
152,17031031000,1461
153,17031834000,1457
154,17031220500,1444
155,17031690900,1435
156,17031030703,1432
157,17031030200,1419
158,17031071800,1417
159,17031030101,1417
160,17031834300,1409
161,17031030900,1402
162,17031330200,1394
163,17031770700,1384
164,17031010202,1375
165,17031841300,1371
166,17031231200,1364
167,17031680900,1357
168,17031430500,1344
169,17031843000,1316
170,17031243100,1312
171,17031710800,1311
172,17031010501,1310
173,17031500200,1308
174,17031839200,1281
175,17031710200,1278
176,17031841200,1273
177,17031150200,1267
178,17031222200,1266
179,17031063303,1261
180,17031282700,1255
181,17031062500,1254
182,17031283100,1240
183,17031243000,1238
184,17031290900,1235
185,17031310900,1223
186,17031210900,1215
187,17031310800,1211
188,17031221600,1208
189,17031010400,1204
190,17031010100,1196
191,17031833300,1193
192,17031160700,1189
193,17031410100,1178
194,17031040202,1177
195,17031420700,1174
196,17031250400,1168
197,17031241200,1159
198,17031750500,1152
199,17031842600,1143
200,17031061500,1130
201,17031160800,1128
202,17031730201,1123
203,17031020802,1110
204,17031061200,1097
205,17031710400,1090
206,17031440102,1086
207,17031031501,1079
208,17031010702,1073
209,17031690400,1071
210,17031842100,1070
211,17031020500,1065
212,17031210700,1060
213,17031250700,1055
214,17031140800,1048
215,17031062400,1041
216,17031660600,1040
217,17031060300,1034
218,17031400800,1033
219,17031691400,1027
220,17031841500,1024
221,17031350100,1019
222,17031221500,1014
223,17031460500,1008
224,17031411000,1000
225,17031838000,987
226,17031831500,983
227,17031230700,975
228,17031390300,973
229,17031050600,956
230,17031061800,942
231,17031251400,931
232,17031030601,931
233,17031650500,930
234,17031836600,930
235,17031221000,928
236,17031420500,920
237,17031843600,915
238,17031410700,911
239,17031691200,906
240,17031660900,906
241,17031431301,904
242,17031210602,901
243,17031030604,892
244,17031351100,885
245,17031251500,881
246,17031834400,871
247,17031283800,866
248,17031710500,860
249,17031610300,856
250,17031835000,849
251,17031081900,842
252,17031400500,841
253,17031831600,834
254,17031030102,828
255,17031251100,823
256,17031700501,813
257,17031062600,808
258,17031843300,805
259,17031050500,805
260,17031661000,787
261,17031292500,783
262,17031051400,782
263,17031221200,780
264,17031830800,779
265,17031210501,775
266,17031420800,771
267,17031836800,767
268,17031251300,766
269,17031836400,761
270,17031430600,758
271,17031160400,757
272,17031220702,750
273,17031440300,747
274,17031220400,747
275,17031040600,740
276,17031210502,736
277,17031310300,735
278,17031691100,730
279,17031480400,726
280,17031241300,710
281,17031430102,708
282,17031010503,702
283,17031760801,698
284,17031430400,678
285,17031410900,677
286,17031241000,669
287,17031161300,665
288,17031252201,662
289,17031836700,662
290,17031490902,653
291,17031390400,652
292,17031140702,648
293,17031839700,646
294,17031491000,645
295,17031020901,635
296,17031540101,635
297,17031660800,630
298,17031020801,629
299,17031090200,621
300,17031150300,620
301,17031530501,619
302,17031842800,615
303,17031020902,610
304,17031010502,609
305,17031062300,609
306,17031681100,607
307,17031191100,603
308,17031260800,601
309,17031840700,601
310,17031280900,594
311,17031220300,592
312,17031020702,589
313,17031292200,577
314,17031291200,575
315,17031440202,569
316,17031681200,566
317,17031110100,562
318,17031838800,560
319,17031240900,558
320,17031060500,557
321,17031040100,556
322,17031711200,555
323,17031140400,555
324,17031160300,552
325,17031710700,551
326,17031831800,546
327,17031250300,542
328,17031420600,540
329,17031842500,537
330,17031240200,537
331,17031840400,536
332,17031251600,536
333,17031681000,528
334,17031030603,527
335,17031450300,527
336,17031110502,524
337,17031250600,523
338,17031140602,517
339,17031031900,515
340,17031691000,513
341,17031140200,504
342,17031730500,504
343,17031430300,502
344,17031151002,502
345,17031060100,501
346,17031381400,497
347,17031050100,496
348,17031841800,492
349,17031051300,488
350,17031836100,486
351,17031839900,480
352,17031160200,476
353,17031837100,470
354,17031270500,467
355,17031530200,464
356,17031250800,463
357,17031381200,462
358,17031242900,460
359,17031843100,458
360,17031200200,455
361,17031220902,452
362,17031490901,449
363,17031251200,448
364,17031832900,444
365,17031837300,444
366,17031430700,444
367,17031410500,439
368,17031020200,434
369,17031570300,434
370,17031031800,430
371,17031530503,426
372,17031842000,422
373,17031491400,418
374,17031400300,417
375,17031400400,414
376,17031190800,410
377,17031470100,409
378,17031460302,409
379,17031301200,407
380,17031210601,407
381,17031292400,407
382,17031130100,406
383,17031020100,402
384,17031280400,401
385,17031690300,396
386,17031711000,393
387,17031681300,388
388,17031060200,384
389,17031150800,384
390,17031283200,383
391,17031834600,380
392,17031190100,380
393,17031242800,372
394,17031835800,367
395,17031250500,362
396,17031671500,362
397,17031831200,359
398,17031220701,358
399,17031390100,356
400,17031040700,351
401,17031310200,349
402,17031540102,348
403,17031100200,347
404,17031491100,346
405,17031160602,345
406,17031282800,344
407,17031030701,340
408,17031071700,340
409,17031190300,339
410,17031030400,338
411,17031260700,336
412,17031672000,336
413,17031040900,336
414,17031836000,333
415,17031190200,330
416,17031600900,328
417,17031261000,324
418,17031222700,323
419,17031691500,322
420,17031190402,321
421,17031460400,320
422,17031839600,318
423,17031730400,317
424,17031834800,312
425,17031837400,311
426,17031310500,307
427,17031051100,304
428,17031210400,302
429,17031691300,300
430,17031260600,297
431,17031071600,295
432,17031160502,295
433,17031837000,295
434,17031160501,293
435,17031030300,291
436,17031020602,291
437,17031530300,288
438,17031271400,286
439,17031650200,282
440,17031151100,282
441,17031835200,281
442,17031681400,274
443,17031200402,272
444,17031750600,271
445,17031661100,269
446,17031230500,268
447,17031821600,268
448,17031140701,267
449,17031161000,266
450,17031051200,265
451,17031140100,264
452,17031242700,264
453,17031222500,264
454,17031711400,263
455,17031814200,262
456,17031351400,257
457,17031730202,254
458,17031730600,252
459,17031710900,252
460,17031240600,248
461,17031030103,246
462,17031490800,246
463,17031100100,246
464,17031440900,244
465,17031750100,244
466,17031310700,244
467,17031700401,243
468,17031835600,240
469,17031151200,239
470,17031010701,239
471,17031020601,238
472,17031490500,237
473,17031831700,236
474,17031431200,235
475,17031260100,234
476,17031260900,234
477,17031600400,234
478,17031160601,233
479,17031460100,231
480,17031500100,228
481,17031836900,227
482,17031390600,227
483,17031190602,223
484,17031190702,222
485,17031130300,216
486,17031711100,214
487,17031220901,212
488,17031260500,211
489,17031220601,209
490,17031191302,209
491,17031835100,208
492,17031381800,206
493,17031020302,205
494,17031530600,204
495,17031834500,200
496,17031700100,199
497,17031252101,199
498,17031380100,197
499,17031350400,195
500,17031390200,193
501,17031700200,192
502,17031300700,190
503,17031820901,189
504,17031620300,188
505,17031280800,187
506,17031300900,187
507,17031050300,186
508,17031040401,185
509,17031310400,185
510,17031020400,183
511,17031580400,183
512,17031580600,183
513,17031230200,182
514,17031834700,182
515,17031630300,181
516,17031260300,181
517,17031650301,181
518,17031580501,180
519,17031340500,180
520,17031300600,180
521,17031250200,178
522,17031222600,177
523,17031240800,175
524,17031815600,174
525,17031180100,174
526,17031809400,173
527,17031660700,172
528,17031160900,171
529,17031839500,171
530,17031200100,171
531,17031760803,171
532,17031660302,171
533,17031301802,170
534,17031650400,169
535,17031730700,169
536,17031580700,169
537,17031836500,168
538,17031380700,163
539,17031100500,157
540,17031051000,157
541,17031191200,156
542,17031843400,156
543,17031420100,156
544,17031490700,156
545,17031720200,155
546,17031834900,153
547,17031830500,153
548,17031170300,152
549,17031420300,152
550,17031570200,151
551,17031120300,151
552,17031700402,150
553,17031843500,150
554,17031839800,150
555,17031630400,150
556,17031260200,148
557,17031630800,148
558,17031711500,148
559,17031360200,148
560,17031230100,147
561,17031490600,146
562,17031110501,146
563,17031040300,146
564,17031630500,146
565,17031590700,146
566,17031240700,145
567,17031191301,142
568,17031150401,142
569,17031710300,140
570,17031420400,139
571,17031171000,139
572,17031380200,137
573,17031710600,137
574,17031150700,136
575,17031550100,136
576,17031700502,136
577,17031620100,135
578,17031671300,135
579,17031816100,134
580,17031840200,133
581,17031200401,132
582,17031340600,129
583,17031140302,129
584,17031833900,127
585,17031700302,127
586,17031841400,127
587,17031430900,126
588,17031050800,125
589,17031491300,123
590,17031420200,123
591,17031490300,121
592,17031720500,121
593,17031570100,121
594,17031170500,118
595,17031440800,117
596,17031671600,117
597,17031191000,116
598,17031700301,116
599,17031730100,115
600,17031140301,114
601,17031120100,113
602,17031580100,113
603,17031660500,111
604,17031838600,111
605,17031430800,110
606,17031190601,109
607,17031300800,109
608,17031271500,108
609,17031120200,108
610,17031807600,107
611,17031660400,107
612,17031611900,107
613,17031100400,106
614,17031440600,105
615,17031200300,104
616,17031100300,104
617,17031161100,102
618,17031580502,101
619,17031271200,101
620,17031100600,101
621,17031611500,100
622,17031840300,99
623,17031120400,98
624,17031460700,97
625,17031271800,96
626,17031590600,96
627,17031050700,96
628,17031110400,95
629,17031381900,95
630,17031271300,95
631,17031560800,95
632,17031640300,94
633,17031650100,94
634,17031251000,92
635,17031190401,90
636,17031151001,90
637,17031810502,89
638,17031190701,89
639,17031630900,88
640,17031480500,88
641,17031491200,88
642,17031020701,88
643,17031570500,87
644,17031150402,86
645,17031161200,86
646,17031835500,86
647,17031590500,85
648,17031690500,85
649,17031140601,85
650,17031461000,85
651,17031421200,83
652,17031560700,82
653,17031260400,81
654,17031530400,80
655,17031730300,80
656,17031171100,79
657,17031030702,79
658,17031410600,79
659,17031460301,79
660,17031600600,78
661,17031580200,78
662,17031140500,78
663,17031740200,77
664,17031301701,77
665,17031611200,77
666,17031301803,76
667,17031030104,75
668,17031720300,74
669,17031210800,74
670,17031510200,72
671,17031808002,71
672,17031230400,71
673,17031812301,70
674,17031620200,69
675,17031301600,68
676,17031150502,67
677,17031720700,66
678,17031110200,66
679,17031300500,65
680,17031840000,64
681,17031480300,64
682,17031480100,63
683,17031351500,63
684,17031831300,62
685,17031150600,61
686,17031680500,60
687,17031670800,59
688,17031611800,59
689,17031843800,58
690,17031720100,57
691,17031620400,57
692,17031836300,57
693,17031170200,57
694,17031823001,57
695,17031750200,57
696,17031640600,56
697,17031390500,56
698,17031812500,54
699,17031411100,54
700,17031660301,54
701,17031840100,53
702,17031410200,53
703,17031050900,53
704,17031560900,53
705,17031570400,52
706,17031611400,52
707,17031710100,52
708,17031381500,51
709,17031561100,50
710,17031840800,49
711,17031822102,49
712,17031160100,49
713,17031130200,49
714,17031600700,48
715,17031301801,48
716,17031251700,48
717,17031670400,47
718,17031301100,45
719,17031440700,44
720,17031611300,44
721,17031670700,43
722,17031711300,43
723,17031222800,43
724,17031640700,43
725,17031020301,42
726,17031640500,42
727,17031740400,42
728,17031817900,41
729,17031190900,40
730,17031550200,39
731,17031671900,39
732,17031671400,39
733,17031650302,39
734,17031231100,38
735,17031740300,38
736,17031810200,38
737,17031170800,37
738,17031612000,37
739,17031411200,37
740,17031670100,33
741,17031670900,33
742,17031841700,33
743,17031810301,32
744,17031580300,32
745,17031110300,31
746,17031580800,31
747,17031750300,31
748,17031490400,30
749,17031170100,30
750,17031500300,30
751,17031301702,29
752,17031560300,29
753,17031670200,29
754,17031760802,28
755,17031340400,28
756,17031611700,27
757,17031170400,27
758,17031610400,27
759,17031040800,27
760,17031561000,26
761,17031671100,26
762,17031611000,25
763,17031611100,25
764,17031100700,25
765,17031150501,24
766,17031222900,24
767,17031680600,23
768,17031720600,23
769,17031670300,22
770,17031612100,22
771,17031460200,22
772,17031380500,21
773,17031480200,21
774,17031750400,21
775,17031810400,21
776,17031530100,21
777,17031813801,20
778,17031630200,20
779,17031671200,19
780,17031821402,19
781,17031670600,19
782,17031808100,19
783,17031812600,18
784,17031740100,18
785,17031671800,17
786,17031809300,17
787,17031611600,15
788,17031821900,15
789,17031821800,15
790,17031560100,15
791,17031814800,14
792,17031530502,14
793,17031610800,14
794,17031806900,14
795,17031820902,14
796,17031809900,13
797,17031812900,12
798,17031813702,12
799,17031230800,11
800,17031230300,11
801,17031560400,11
802,17031720400,11
803,17031812000,11
804,17031640100,11
805,17031291600,11
806,17031090300,10
807,17031670500,10
808,17031806600,10
809,17031090100,10
810,17031814900,9
811,17031640800,9
812,17031810000,9
813,17031817101,9
814,17031770602,9
815,17031841600,8
816,17031812100,8
817,17031813100,8
818,17031810900,8
819,17031520300,8
820,17031640400,8
821,17031809500,7
822,17031835700,7
823,17031816200,7
824,17031826401,7
825,17031811302,7
826,17031815400,7
827,17031520200,7
828,17031807800,6
829,17031817200,6
830,17031817500,6
831,17031820502,6
832,17031813302,6
833,17031826700,6
834,17031826402,6
835,17031813900,6
836,17031811600,6
837,17031823304,5
838,17031821401,5
839,17031821200,5
840,17031340300,5
841,17031812700,5
842,17031816000,5
843,17031813701,5
844,17031560200,5
845,17031460600,4
846,17031813500,4
847,17031826500,4
848,17031630100,4
849,17031827902,4
850,17031810100,3
851,17031815200,3
852,17031815900,3
853,17031770500,3
854,17031816900,3
855,17031817000,3
856,17031770800,3
857,17031800600,3
858,17031802402,3
859,17031820202,3
860,17031825802,3
861,17031520100,3
862,17031826600,3
863,17031812801,3
864,17031809700,3
865,17031810702,3
866,17031812302,3
867,17031821001,2
868,17031814700,2
869,17031815000,2
870,17031810600,2
871,17031813400,2
872,17031816600,2
873,17031170900,2
874,17031820103,2
875,17031800500,2
876,17031805600,2
877,17031820605,2
878,17031827901,2
879,17031825801,2
880,17031821500,2
881,17031809800,2
882,17031806801,2
883,17031825803,2
884,17031510100,2
885,17031520400,2
886,17031821300,2
887,17031825501,2
888,17031821102,1
889,17031814100,1
890,17031808301,1
891,17031826304,1
892,17031815500,1
893,17031823703,1
894,17031816300,1
895,17031811100,1
896,17031817600,1
897,17031817700,1
898,17031823302,1
899,17031811401,1
900,17031808800,1
901,17031830004,1
902,17031813000,1
